id,villeLowerCase,zipCode,long,lat
230,saint maurice de remens,1500,5.28333,45.95
231,chatillon la palud,1320,5.25,45.9667
232,saint sulpice,1340,5.04167,46.3203
233,saint bois,1300,5.63333,45.7
234,virignin,1300,5.71667,45.7167
235,premillieu,1110,5.56667,45.8667
236,genouilleux,1090,4.78333,46.1167
237,reyssouze,1190,4.91667,46.4333
238,collonges,1550,5.9,46.1333
239,saint germain de joux,1130,5.73333,46.1833
240,bregnier cordon,1300,5.61667,45.65
241,saint martin le chatel,1310,5.11667,46.2833
242,marignieu,1300,5.71667,45.8
243,les neyrolles,1130,5.63333,46.1333
244,sulignat,1400,4.96667,46.1667
245,beny,1370,5.28333,46.3333
246,injoux genissiat,1200,5.78333,46.05
247,chanay,1420,5.78333,46
248,chatillon sur chalaronne,1400,4.96667,46.1167
249,farges,1550,5.91667,46.1667
250,saint alban,1450,5.45,46.1
251,curtafond,1310,5.08333,46.2667
252,viriat,1440,5.21667,46.25
253,belleydoux,1130,5.76667,46.25
254,bage le chatel,1380,4.93333,46.3
255,sainte olive,1330,4.93333,46.0167
256,saint genis sur menthon,1380,5.01667,46.2833
257,domsure,1270,5.3,46.4167
258,chavannes sur suran,1250,5.41667,46.2667
259,priay,1160,5.28333,46
260,peyrieu,1300,5.67751,45.6767
261,lalleyriat,1130,5.71667,46.15
262,sergy,1630,6,46.25
263,saint martin du frene,1430,5.55,46.1333
264,saint maurice de beynost,1700,4.96667,45.8333
265,servas,1240,5.16667,46.1333
266,cuzieu,1300,5.67445,45.8192
267,jayat,1340,5.11667,46.3667
268,lavours,1350,5.76667,45.8
269,chevroux,1190,4.95,46.3833
270,pollieu,1350,5.75,45.8
271,beligneux,1360,5.11667,45.8667
272,brenaz,1260,5.71667,45.95
273,benonces,1470,5.48333,45.8333
274,saint jean le vieux,1640,5.38917,46.0284
275,beauregard,1480,4.75139,46.002
276,oyonnax,1100,5.66667,46.25
277,mionnay,1390,4.93333,45.9
278,germagnat,1250,5.45,46.3167
279,coligny,1270,5.35,46.3833
280,simandre sur suran,1250,5.41667,46.2167
281,l abergement clemenciat,1400,4.91667,46.15
282,lescheroux,1560,5.15,46.4
283,ornex,1210,6.1,46.2833
284,dommartin,1380,4.99167,46.3417
285,lompnas,1680,5.51667,45.8
286,bettant,1500,5.36667,45.9333
287,armix,1510,5.58333,45.85
288,feillens,1570,4.88333,46.3333
289,chavornay,1510,5.7,45.8833
290,challex,1630,5.96667,46.1833
291,vongnes,1350,5.71667,45.8167
292,magnieu,1300,5.71667,45.7833
293,groissiat,1810,5.6,46.2167
294,dompierre sur chalaronne,1400,4.9,46.1333
295,montluel,1120,5.05,45.85
296,le poizat,1130,5.7,46.15
297,hostiaz,1110,5.53333,45.9
298,montanges,1200,5.8,46.1667
299,sainte julie,1150,5.28333,45.8833
300,bey,1290,4.85,46.2167
301,sonthonnax la montagne,1580,5.53333,46.2333
302,mezeriat,1660,5.03333,46.2333
303,bellignat,1810,5.61667,46.25
304,saint marcel,1390,4.98723,45.9487
305,belley,1300,5.68333,45.7667
306,corbonod,1420,5.81667,45.95
307,neyron,1700,4.93223,45.8148
308,saint paul de varax,1240,5.13333,46.1
309,pressiat,1370,5.38333,46.3333
310,chazey bons,1300,5.68333,45.8
311,servignat,1560,5.06667,46.4333
312,marlieux,1240,5.06667,46.0667
313,andert et condon,1300,5.65,45.8
314,hautecourt romaneche,1250,5.41667,46.1583
315,crottet,1620,4.9,46.2833
316,druillat,1160,5.31667,46.0667
317,dompierre sur veyle,1240,5.2,46.0667
318,perouges,1800,5.18333,45.9
